title,year,duration,genres,rating,directors,cast
tt3104988,2018,120,"Comedy, Drama, Romance",6.9,nm0160840,"nm2090422, nm6525901, nm0000706, nm2110418, nm0523734"
tt4846340,2016,127,"Biography, Drama, History",7.8,nm0577647,"nm0378245, nm0818055, nm1847117"
